C1:1
C2:1
C3:1
C5:1
C6:1
C7:1
D1:1
J5:1
J6:1
J7:1
J8:1
JP1:1
JP2:1
JP3:1
JP4:1
LED0:1
PWR1:1
R1:1
R2:1
R3:1
R4:1
R5:1
R6:1
RESET1:1
SW0:1
U1:1
U3:1
U4:1
Y1:1
